"Fecha,""Último"",""Apertura"",""Máximo"",""Mínimo"",""Vol."",""% var."""
"19.05.2023,""3,7320"",""3,6975"",""3,7675"",""3,6765"","""",""1,15%"""
"18.05.2023,""3,6895"",""3,7460"",""3,7645"",""3,6805"",""60,35K"",""-1,73%"""
"17.05.2023,""3,7545"",""3,6620"",""3,7740"",""3,6525"",""82,45K"",""2,39%"""
"16.05.2023,""3,6670"",""3,7430"",""3,7545"",""3,6570"",""74,94K"",""-2,24%"""
"15.05.2023,""3,7510"",""3,7235"",""3,7790"",""3,7005"",""59,89K"",""0,60%"""
"12.05.2023,""3,7285"",""3,7010"",""3,7515"",""3,6770"","""",""0,50%"""
"11.05.2023,""3,7100"",""3,8520"",""3,8555"",""3,6840"","""",""-3,41%"""
"10.05.2023,""3,8410"",""3,9035"",""3,9185"",""3,8285"","""",""-1,55%"""
"09.05.2023,""3,9015"",""3,9240"",""3,9240"",""3,8810"",""46,22K"",""-0,71%"""
"08.05.2023,""3,9295"",""3,8925"",""3,9595"",""3,8765"",""40,07K"",""1,20%"""
"05.05.2023,""3,8830"",""3,8610"",""3,9060"",""3,8250"",""59,64K"",""0,52%"""
"04.05.2023,""3,8630"",""3,8550"",""3,9075"",""3,8260"",""68,25K"",""0,47%"""
"03.05.2023,""3,8450"",""3,8685"",""3,8720"",""3,8300"",""51,30K"",""-0,45%"""
"02.05.2023,""3,8625"",""3,9355"",""3,9530"",""3,8570"",""57,60K"",""-1,82%"""
"01.05.2023,""3,9340"",""3,8950"",""4,0050"",""3,8705"",""59,06K"",""1,12%"""
"28.04.2023,""3,8905"",""3,8910"",""3,9185"",""3,8570"",""58,93K"",""0,17%"""
"27.04.2023,""3,8840"",""3,8570"",""3,9000"",""3,8165"",""81,38K"",""0,58%"""
"26.04.2023,""3,8615"",""3,8660"",""3,9095"",""3,8500"",""73,08K"",""-0,09%"""
"25.04.2023,""3,8650"",""3,9735"",""3,9850"",""3,8515"",""83,03K"",""-2,51%"""
"24.04.2023,""3,9645"",""3,9900"",""4,0055"",""3,9600"",""45,58K"",""-0,55%"""
"21.04.2023,""3,9865"",""4,0275"",""4,0395"",""3,9825"",""38,86K"",""-1,14%"""
"20.04.2023,""4,0325"",""4,0760"",""4,0830"",""4,0160"",""31,53K"",""-1,19%"""
"19.04.2023,""4,0810"",""4,0935"",""4,0975"",""4,0310"",""28,54K"",""-0,38%"""
"18.04.2023,""4,0965"",""4,0785"",""4,1090"",""4,0650"",""24,78K"",""0,75%"""
"17.04.2023,""4,0660"",""4,1120"",""4,1330"",""4,0580"",""62,39K"",""-0,99%"""
"14.04.2023,""4,1065"",""4,1285"",""4,1955"",""4,0950"",""101,54K"",""-0,42%"""
"13.04.2023,""4,1240"",""4,0700"",""4,1430"",""4,0535"",""92,48K"",""1,05%"""
"12.04.2023,""4,0810"",""4,0295"",""4,0880"",""3,9840"",""93,03K"",""1,53%"""
"11.04.2023,""4,0195"",""3,9870"",""4,0540"",""3,9780"",""85,66K"",""1,08%"""
"10.04.2023,""3,9765"",""4,0180"",""4,0395"",""3,9630"",""56,66K"",""-0,97%"""
"06.04.2023,""4,0155"",""3,9825"",""4,0315"",""3,9710"",""87,26K"",""0,73%"""
"05.04.2023,""3,9865"",""3,9740"",""3,9960"",""3,9260"",""68,50K"",""0,39%"""
"04.04.2023,""3,9710"",""4,0530"",""4,0715"",""3,9445"",""82,16K"",""-1,84%"""
"03.04.2023,""4,0455"",""4,0910"",""4,0975"",""4,0345"",""64,13K"",""-1,20%"""
"31.03.2023,""4,0945"",""4,1120"",""4,1175"",""4,0215"",""75,93K"",""0,07%"""
"30.03.2023,""4,0915"",""4,0815"",""4,1345"",""4,0585"",""69,86K"",""0,12%"""
"29.03.2023,""4,0865"",""4,0765"",""4,1335"",""4,0495"",""74,24K"",""0,02%"""
"28.03.2023,""4,0855"",""4,0970"",""4,1130"",""4,0590"",""77,25K"",""0,17%"""
"27.03.2023,""4,0785"",""4,0750"",""4,1020"",""4,0235"",""67,62K"",""0,09%"""
"24.03.2023,""4,0750"",""4,1015"",""4,1485"",""4,0505"",""85,51K"",""-1,18%"""
"23.03.2023,""4,1235"",""4,0430"",""4,1265"",""4,0225"",""79,53K"",""1,95%"""
"22.03.2023,""4,0445"",""4,0015"",""4,1075"",""3,9715"",""78,06K"",""1,26%"""
"21.03.2023,""3,9940"",""3,9555"",""4,0345"",""3,9285"",""69,31K"",""1,08%"""
"20.03.2023,""3,9515"",""3,9085"",""3,9700"",""3,8550"",""73,79K"",""1,52%"""
"17.03.2023,""3,8925"",""3,8765"",""3,9525"",""3,8700"",""72,13K"",""0,72%"""
"16.03.2023,""3,8645"",""3,8835"",""3,9030"",""3,8220"",""85,38K"",""0,56%"""
"15.03.2023,""3,8430"",""4,0050"",""4,0275"",""3,8400"",""131,41K"",""-4,00%"""
