"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"02.Jan.1990,""2,810.15"",""459.33"",""2,434.10"","""",""1,988.85"",""1,814.38"","""","""",""571.86"","""","""",""899.61"","""",""0.23"","""",""0.00"","""","""",""0.35"""
"03.Jan.1990,""2,809.73"",""460.90"",""2,463.70"","""",""1,979.89"",""1,869.66"",""908.59"","""",""582.67"","""","""",""897.34"",""9,624.18"",""0.24"","""",""0.00"","""","""",""0.36"""
"04.Jan.1990,""2,796.08"",""459.39"",""2,451.60"",""38,712.88"",""2,006.42"",""1,835.88"",""928.82"","""",""586.05"","""","""",""902.07"",""9,853.15"",""0.25"","""",""0.00"","""","""",""0.37"""
"05.Jan.1990,""2,773.25"",""458.22"",""2,444.50"",""38,274.76"",""1,994.36"",""1,820.00"",""915.11"","""",""582.56"","""","""",""918.67"",""9,862.42"",""0.25"","""",""0.00"","""","""",""0.38"""
"08.Jan.1990,""2,794.37"",""458.71"",""2,431.30"",""38,294.96"",""1,968.95"",""1,843.24"",""919.46"","""",""583.45"","""","""",""906.71"",""9,964.72"",""0.25"",""17.48"",""0.00"","""","""",""0.37"""
"09.Jan.1990,""2,766.00"",""456.77"",""2,436.30"",""37,951.46"",""1,970.28"",""1,865.94"",""920.21"","""",""583.29"","""","""",""909.95"",""9,805.40"",""0.27"",""21.43"",""0.00"","""","""",""0.37"""
"10.Jan.1990,""2,750.64"",""450.70"",""2,412.70"",""37,696.51"",""1,970.38"",""1,839.63"",""911.48"","""",""587.82"","""","""",""912.18"",""9,868.82"",""0.29"",""22.49"",""0.00"","""","""",""0.37"""
"11.Jan.1990,""2,760.67"",""448.86"",""2,417.90"",""38,170.13"",""1,992.89"",""1,855.83"",""903.27"","""",""592.89"","""","""",""888.72"",""10,134.97"",""0.28"",""22.12"",""0.00"","""","""",""0.37"""
"12.Jan.1990,""2,689.21"",""439.72"",""2,380.00"",""37,516.77"",""1,968.65"",""1,855.66"",""903.11"","""",""587.92"","""","""",""897.31"",""10,588.56"",""0.30"",""24.78"",""0.00"","""","""",""0.37"""
"15.Jan.1990,""2,669.37"",""436.64"",""2,366.20"","""",""1,962.89"",""1,841.61"",""883.04"","""",""569.46"","""","""",""894.20"",""10,867.64"",""0.31"","""",""0.00"","""","""",""0.36"""
"16.Jan.1990,""2,692.62"",""440.16"",""2,349.10"",""36,850.36"",""1,935.21"",""1,788.68"",""883.43"","""",""567.34"","""","""",""877.68"",""10,904.90"",""0.33"",""25.39"",""0.00"","""","""",""0.36"""
"17.Jan.1990,""2,659.13"",""438.68"",""2,373.90"",""36,821.14"",""1,953.14"",""1,802.48"",""874.41"","""",""574.32"","""","""",""864.96"",""10,835.67"",""0.33"",""27.91"",""0.00"","""","""",""0.36"""
"18.Jan.1990,""2,666.38"",""437.52"",""2,336.90"",""36,729.46"",""1,934.72"",""1,779.17"",""874.81"","""",""574.09"","""","""",""862.97"",""11,153.05"",""0.33"",""27.63"",""0.00"","""","""",""0.36"""
"19.Jan.1990,""2,677.90"",""440.88"",""2,335.00"",""36,836.54"",""1,925.95"",""1,773.56"",""868.20"","""",""574.72"","""","""",""868.67"",""11,422.51"",""0.34"",""25.92"",""0.00"","""","""",""0.36"""
"22.Jan.1990,""2,600.45"",""431.94"",""2,297.10"",""37,257.01"",""1,915.82"",""1,779.30"",""898.89"","""",""572.12"","""","""",""880.41"",""11,769.32"",""0.36"",""24.11"",""0.00"","""","""",""0.36"""
"23.Jan.1990,""2,615.32"",""430.42"",""2,291.10"",""37,378.02"",""1,912.36"",""1,801.52"",""890.52"","""",""567.25"","""","""",""875.98"",""11,947.01"",""0.38"",""23.93"",""0.00"","""","""",""0.36"""
"24.Jan.1990,""2,604.50"",""425.66"",""2,278.60"",""36,778.98"",""1,881.73"",""1,756.41"",""903.58"","""",""558.07"","""","""",""858.02"",""11,947.01"",""0.38"",""24.27"",""0.00"","""","""",""0.35"""
"25.Jan.1990,""2,561.04"",""425.24"",""2,289.90"",""36,969.11"",""1,893.23"",""1,787.59"",""905.75"","""",""560.13"","""","""",""846.01"",""11,947.01"",""0.36"",""23.10"",""0.00"","""","""",""0.35"""
"26.Jan.1990,""2,559.23"",""421.33"",""2,314.50"",""36,874.07"",""1,886.75"",""1,794.14"","""","""",""562.98"","""","""",""858.14"",""11,947.01"",""0.33"",""22.67"",""0.00"","""","""",""0.34"""
