Date;Price;Open;High;Low;Vol.;Change %
04/18/2023;5,474.62;5,469.94;5,492.36;5,458.96;;0.09%
04/17/2023;5,469.94;5,417.18;5,474.76;5,417.18;;0.97%
04/14/2023;5,417.18;5,365.12;5,423.43;5,365.12;;1.43%
04/13/2023;5,341.03;5,353.09;5,357.60;5,334.51;;-0.23%
04/12/2023;5,353.09;5,306.88;5,363.56;5,306.88;;0.87%
04/11/2023;5,306.88;5,281.48;5,313.40;5,281.48;;0.48%
04/10/2023;5,281.48;5,274.20;5,310.40;5,261.27;;0.14%
04/06/2023;5,274.20;5,236.22;5,276.86;5,226.49;;0.73%
04/05/2023;5,236.22;5,228.00;5,238.63;5,199.35;;0.16%
04/04/2023;5,228.00;5,309.00;5,309.78;5,226.09;;-1.53%
04/03/2023;5,309.00;5,324.62;5,339.99;5,295.71;;-0.29%
03/31/2023;5,324.62;5,309.20;5,345.25;5,301.90;;0.29%
03/30/2023;5,309.20;5,313.76;5,333.81;5,298.84;;-0.09%
03/29/2023;5,313.76;5,244.75;5,313.76;5,244.75;;1.32%
03/28/2023;5,244.75;5,258.08;5,289.84;5,244.64;;-0.25%
03/27/2023;5,258.08;5,248.86;5,286.81;5,248.86;;0.18%
03/24/2023;5,248.86;5,275.37;5,275.37;5,217.08;;-0.50%
03/23/2023;5,275.37;5,271.18;5,313.98;5,261.93;;0.08%
03/22/2023;5,271.18;5,299.17;5,324.37;5,265.36;;-0.53%
03/21/2023;5,299.17;5,170.09;5,302.18;5,170.09;;2.50%
03/20/2023;5,170.09;5,112.03;5,191.66;5,096.85;;1.14%
03/17/2023;5,112.03;5,198.35;5,225.28;5,112.03;;-1.64%
03/16/2023;5,197.37;5,196.61;5,227.27;5,145.53;;0.01%
03/15/2023;5,196.61;5,298.78;5,298.78;5,182.75;;-1.93%
03/14/2023;5,298.78;5,337.04;5,360.50;5,288.67;;-0.72%
03/13/2023;5,337.04;5,393.72;5,393.72;5,308.73;;-1.05%
03/10/2023;5,393.72;5,410.59;5,424.46;5,366.42;;-0.31%
03/09/2023;5,410.59;5,416.39;5,459.91;5,409.47;;-0.11%
03/08/2023;5,416.39;5,403.44;5,421.80;5,391.36;;0.24%
03/07/2023;5,403.44;5,427.52;5,432.97;5,359.73;;-0.44%
03/06/2023;5,427.52;5,439.46;5,449.87;5,413.68;;-0.22%
03/03/2023;5,439.46;5,407.24;5,477.74;5,407.24;;0.60%
03/02/2023;5,407.24;5,375.37;5,407.54;5,327.83;;0.59%
03/01/2023;5,375.37;5,394.90;5,413.37;5,357.90;;-0.36%
02/28/2023;5,394.90;5,357.10;5,396.39;5,355.43;;0.71%
02/27/2023;5,357.10;5,331.57;5,379.87;5,328.86;;0.48%
02/24/2023;5,331.57;5,312.79;5,337.71;5,304.12;;0.35%
02/23/2023;5,312.79;5,258.46;5,330.71;5,258.46;;1.03%
02/22/2023;5,258.46;5,261.37;5,297.81;5,248.68;;-0.06%
02/21/2023;5,261.37;5,330.76;5,347.59;5,260.39;;-1.30%
02/20/2023;5,330.76;5,328.96;5,356.56;5,325.29;;0.03%
02/17/2023;5,328.96;5,451.45;5,451.45;5,325.81;;-2.25%
02/16/2023;5,451.45;5,404.30;5,451.45;5,396.33;;0.87%
02/15/2023;5,404.30;5,332.43;5,404.92;5,329.07;;1.35%
02/14/2023;5,332.43;5,366.18;5,382.68;5,332.43;;-0.63%
02/13/2023;5,366.18;5,392.45;5,406.39;5,352.62;;-0.49%
02/10/2023;5,392.45;5,356.92;5,392.45;5,337.79;;0.66%
02/09/2023;5,356.92;5,328.83;5,375.31;5,328.83;;0.53%
