"Periodo","TC","UF","EMBI CHILE","1.Dow Jones, EE.UU.","2.FTSE100, Reino Unido","3.CSI 300, China.","4.Nikkei, Japón","5.DAX, Alemania","1.Tasa (TIB) promedio (porcentaje)"
"01.Jan.1990","","5,435.28","","","","","","",""
"02.Jan.1990","297.37","5,438.23","","2,810.15","2,434.10","","","1,814.38",""
"03.Jan.1990","297.32","5,441.19","","2,809.73","2,463.70","","","1,869.66",""
"04.Jan.1990","297.65","5,444.15","","2,796.08","2,451.60","","38,712.88","1,835.88",""
"05.Jan.1990","297.66","5,447.11","","2,773.25","2,444.50","","38,274.76","1,820.00",""
"06.Jan.1990","","5,450.07","","2,794.37","2,431.30","","38,294.96","1,843.24",""
"07.Jan.1990","","5,453.04","","2,766.00","2,436.30","","37,951.46","1,865.94",""
"08.Jan.1990","298.18","5,456.00","","2,750.64","2,412.70","","37,696.51","1,839.63",""
"09.Jan.1990","297.82","5,458.97","","2,760.67","2,417.90","","38,170.13","1,855.83",""
"10.Jan.1990","298.11","5,462.63","","2,689.21","2,380.00","","37,516.77","1,855.66",""
"11.Jan.1990","297.86","5,466.29","","2,669.37","2,366.20","","","1,841.61",""
"12.Jan.1990","297.27","5,469.96","","2,692.62","2,349.10","","36,850.36","1,788.68",""
"13.Jan.1990","","5,473.63","","2,659.13","2,373.90","","36,821.14","1,802.48",""
"14.Jan.1990","","5,477.30","","2,666.38","2,336.90","","36,729.46","1,779.17",""
"15.Jan.1990","297.10","5,480.97","","2,677.90","2,335.00","","36,836.54","1,773.56",""
"16.Jan.1990","293.90","5,484.65","","2,600.45","2,297.10","","37,257.01","1,779.30",""
"17.Jan.1990","293.74","5,488.33","","2,615.32","2,291.10","","37,378.02","1,801.52",""
"18.Jan.1990","294.78","5,492.01","","2,604.50","2,278.60","","36,778.98","1,756.41",""
"19.Jan.1990","296.84","5,495.69","","2,561.04","2,289.90","","36,969.11","1,787.59",""
"20.Jan.1990","","5,499.38","","2,559.23","2,314.50","","36,874.07","1,794.14",""
"21.Jan.1990","","5,503.06","","2,553.38","2,328.80","","37,173.70","1,811.55",""
"22.Jan.1990","296.54","5,506.75","","2,543.24","2,322.00","","37,215.67","1,812.90",""
"23.Jan.1990","296.66","5,510.45","","2,590.54","2,337.30","","37,188.95","1,822.78",""
"24.Jan.1990","296.93","5,514.14","","2,586.26","2,345.80","","37,206.42","1,858.08",""
"25.Jan.1990","297.13","5,517.84","","2,602.70","2,355.10","","37,650.15","1,910.67",""
"26.Jan.1990","296.79","5,521.54","","2,622.52","2,348.40","","37,631.41","1,939.43",""
"27.Jan.1990","","5,525.24","","2,606.31","2,321.10","","37,666.83","1,937.72",""
"28.Jan.1990","","5,528.95","","2,640.09","2,307.40","","37,301.87","1,900.10",""
"29.Jan.1990","296.96","5,532.66","","2,644.37","2,331.00","","37,516.24","1,915.79",""
"30.Jan.1990","296.64","5,536.37","","2,648.20","2,313.60","","37,288.14","1,885.89",""
"31.Jan.1990","295.40","5,540.08","","2,619.14","2,285.90","","","1,860.39",""
"01.Feb.1990","295.58","5,543.80","","2,624.10","2,293.20","","37,107.03","1,840.98",""
"02.Feb.1990","295.03","5,547.51","","2,624.32","2,298.30","","37,155.89","1,832.23",""
"03.Feb.1990","","5,551.23","","2,649.55","2,313.80","","37,471.99","1,850.96",""
"04.Feb.1990","","5,554.96","","2,635.59","2,325.90","","37,460.32","1,893.66",""
"05.Feb.1990","295.29","5,558.68","","","2,297.10","","37,222.60","1,869.19",""
"06.Feb.1990","294.98","5,562.41","","2,596.85","2,277.00","","36,895.52","1,823.81",""
"07.Feb.1990","294.59","5,566.14","","2,583.56","2,259.70","","35,734.33","1,807.19",""
"08.Feb.1990","293.08","5,569.87","","2,574.77","2,269.20","","35,826.84","1,820.15",""
"09.Feb.1990","290.61","5,573.61","","2,564.19","2,236.70","","34,890.97","1,789.64",""
"10.Feb.1990","","5,578.53","","2,602.48","2,249.30","","33,321.87","1,776.04",""
"11.Feb.1990","","5,583.45","","2,617.12","2,254.80","","33,897.95","1,804.32",""
"12.Feb.1990","287.86","5,588.38","","2,627.25","2,255.40","","34,591.99","1,809.92",""
"13.Feb.1990","282.94","5,593.31","","2,635.59","2,238.40","","33,829.58","1,787.87",""
"14.Feb.1990","280.88","5,598.24","","2,660.36","2,254.80","","34,057.56","1,818.23",""
"15.Feb.1990","285.98","5,603.18","","2,649.55","2,230.50","","33,845.20","1,833.16",""
"16.Feb.1990","288.80","5,608.12","","2,676.80","2,216.00","","33,791.08","1,822.22",""
"17.Feb.1990","","5,613.07","","2,669.59","2,230.30","","33,362.34","1,844.72",""
"18.Feb.1990","","5,618.02","","2,696.17","2,249.90","","33,690.89","1,860.92",""
"19.Feb.1990","293.51","5,622.98","","2,683.33","2,234.30","","33,993.12","1,858.74",""
"20.Feb.1990","294.59","5,627.94","","2,686.71","2,222.40","","33,368.23","1,846.08",""
"21.Feb.1990","298.20","5,632.91","","2,674.55","2,224.50","","32,620.57","1,867.48",""
"22.Feb.1990","298.84","5,637.88","","2,687.84","2,226.10","","32,352.13","1,862.84",""
"23.Feb.1990","294.06","5,642.85","","2,695.72","2,234.90","","32,671.64","1,879.32",""
"24.Feb.1990","","5,647.83","","2,741.22","2,263.90","","32,616.44","1,889.69",""
"25.Feb.1990","","5,652.81","","2,755.63","2,238.00","","31,263.24","1,906.77",""
"26.Feb.1990","293.72","5,657.80","","2,738.74","2,259.70","","30,807.19","1,908.83",""
"27.Feb.1990","295.24","5,662.79","","2,727.93","2,250.30","","","1,937.99",""
"28.Feb.1990","295.48","5,667.79","","2,695.72","2,258.90","","29,843.34","1,918.98",""
"01.Mar.1990","295.18","5,672.79","","2,704.28","2,283.90","","30,372.16","1,932.12",""
"02.Mar.1990","294.05","5,677.79","","2,707.66","2,298.20","","31,840.49","1,939.53",""
"03.Mar.1990","","5,682.80","","2,736.94","2,266.30","","31,825.96","1,924.98",""
"04.Mar.1990","","5,687.82","","2,743.69","2,274.00","","31,263.57","1,928.60",""
"05.Mar.1990","294.38","5,692.83","","2,727.70","2,263.00","","31,026.16","1,953.89",""
"06.Mar.1990","294.68","5,697.86","","2,707.21","2,247.90","","29,980.45","1,968.55",""
"07.Mar.1990","294.93","5,702.88","","2,700.45","2,221.60","","28,002.07","1,931.30",""
"08.Mar.1990","294.63","5,707.91","","2,736.71","2,240.70","","28,759.72","1,968.33",""
"09.Mar.1990","294.31","5,712.95","","2,719.37","2,231.60","","28,442.94","1,963.25",""
"10.Mar.1990","","5,713.50","","2,721.17","2,239.50","","28,249.06","1,958.39",""
"11.Mar.1990","","5,714.05","","2,717.12","2,221.10","","29,278.78","1,947.84",""
"12.Mar.1990","295.15","5,714.61","","2,722.07","2,227.70","","30,397.93","1,923.86",""
"13.Mar.1990","295.31","5,715.16","","2,731.08","2,217.50","","29,624.68","1,898.51",""
"14.Mar.1990","295.11","5,715.71","","2,729.73","2,215.50","","29,440.28","1,893.77",""
"15.Mar.1990","294.85","5,716.26","","2,751.80","2,222.10","","29,623.20","1,918.17",""
"16.Mar.1990","294.85","5,716.82","","","","","29,213.92","",""
"17.Mar.1990","","5,717.37","","2,763.06","","","28,463.18","",""
"18.Mar.1990","","5,717.92","","2,765.77","2,214.50","","28,461.60","1,914.35",""
"19.Mar.1990","295.51","5,718.47","","2,732.88","2,205.90","","29,249.06","1,889.76",""
"20.Mar.1990","295.47","5,719.03","","2,711.94","2,184.70","","29,945.41","1,878.87",""
"21.Mar.1990","297.75","5,719.58","","2,695.95","2,187.10","","29,835.44","1,884.33",""
"22.Mar.1990","299.73","5,720.13","","2,666.67","2,159.20","","29,679.07","1,837.50",""
"23.Mar.1990","300.94","5,720.68","","2,654.50","2,159.90","","29,501.38","1,830.53",""
"24.Mar.1990","","5,721.24","","2,666.44","2,143.20","","29,564.36","1,843.31",""
"25.Mar.1990","","5,721.79","","2,676.58","2,133.60","","29,424.58","1,827.07",""
"26.Mar.1990","301.73","5,722.34","","2,645.05","2,106.60","","29,584.80","1,825.52",""
"27.Mar.1990","300.77","5,722.90","","2,656.76","2,103.40","","","1,813.25",""
"28.Mar.1990","301.42","5,723.45","","2,668.92","2,117.90","","29,689.83","",""
"29.Mar.1990","298.20","5,724.00","","2,689.64","2,137.50","","30,173.64","1,843.41",""
"30.Mar.1990","297.64","5,724.55","","2,696.17","2,134.70","","","1,881.79",""
"31.Mar.1990","","5,725.11","","2,710.36","2,162.10","","","1,912.89",""
"01.Apr.1990","","5,725.66","","2,721.62","","","30,956.27","1,934.95",""
"02.Apr.1990","296.98","5,726.21","","2,733.56","2,182.30","","30,970.58","1,899.28",""
"03.Apr.1990","296.07","5,726.77","","2,732.88","2,162.70","","30,945.61","1,896.58",""
"04.Apr.1990","296.54","5,727.32","","2,738.51","2,157.00","","30,980.26","1,893.42",""
"05.Apr.1990","296.71","5,727.87","","2,801.58","2,175.90","","31,512.14","1,875.03",""
"06.Apr.1990","296.37","5,728.43","","2,821.53","2,214.50","","32,042.65","1,860.33",""
"07.Apr.1990","","5,728.98","","2,822.45","2,212.20","","31,997.04","1,851.25",""
"08.Apr.1990","","5,729.54","","2,819.68","2,221.10","","31,967.62","1,841.77",""
"09.Apr.1990","296.49","5,730.09","","2,831.71","2,284.40","","32,061.60","1,841.58",""
"10.Apr.1990","295.88","5,734.62","","2,819.91","2,269.20","","32,013.72","1,843.59",""
"11.Apr.1990","295.05","5,739.16","","2,844.68","2,282.00","","31,765.05","1,811.18",""
"12.Apr.1990","294.63","5,743.70","","2,852.23","2,311.30","","31,938.30","1,813.26",""
"13.Apr.1990","","5,748.24","","2,856.26","2,287.40","","32,176.51","1,831.80",""
"14.Apr.1990","","5,752.78","","2,855.55","2,277.00","","32,311.75","",""
"15.Apr.1990","","5,757.33","","2,820.92","2,265.60","","32,793.88","1,823.17",""
"16.Apr.1990","295.07","5,761.89","","","","","33,191.61","1,828.96",""
"17.Apr.1990","295.66","5,766.44","","2,870.49","2,295.60","","32,817.67","1,842.74",""
"18.Apr.1990","295.92","5,771.00","","2,878.56","2,346.00","","32,926.26","1,840.54",""
"19.Apr.1990","296.84","5,775.57","","2,876.66","2,345.20","","33,130.80","1,844.41",""
"20.Apr.1990","297.30","5,780.14","","2,900.97","2,371.30","","32,891.12","1,856.95",""
"21.Apr.1990","","5,784.71","","2,935.19","2,379.00","","32,925.37","",""
"22.Apr.1990","","5,789.28","","2,925.00","2,380.10","","32,921.62","1,876.69",""
"23.Apr.1990","297.04","5,793.86","","2,911.65","2,358.50","","32,953.50","1,849.02",""
"24.Apr.1990","297.13","5,798.44","","2,897.33","2,378.40","","33,192.50","1,837.43",""
"25.Apr.1990","297.23","5,803.03","","2,862.38","2,366.40","","32,993.29","1,822.23",""
"26.Apr.1990","297.15","5,807.62","","2,892.57","2,348.90","","32,540.18","1,809.66",""
"27.Apr.1990","297.03","5,812.21","","2,933.42","2,370.80","","32,322.31","1,800.36",""
"28.Apr.1990","","5,816.81","","2,929.70","2,405.30","","32,371.77","1,787.39",""
"29.Apr.1990","","5,821.41","","2,928.22","2,403.00","","32,668.11","",""
"30.Apr.1990","297.14","5,826.01","","2,935.89","2,392.30","","32,538.40","1,792.26",""
"01.May.1990","","5,830.62","","2,882.18","2,370.50","","32,376.80","1,797.42",""
"02.May.1990","296.92","5,835.23","","2,893.56","2,369.70","","32,040.38","1,836.74",""
"03.May.1990","296.73","5,839.85","","2,895.30","2,371.40","","32,087.76","1,849.55",""
"04.May.1990","295.83","5,844.46","","2,901.73","2,370.30","","32,087.27","1,863.57",""
"05.May.1990","","5,849.09","","2,857.18","2,378.50","","31,694.57","1,872.92",""
"06.May.1990","","5,853.71","","2,845.05","2,398.50","","31,124.19","1,896.21",""
"07.May.1990","295.81","5,858.34","","2,842.33","2,399.80","","31,571.77","1,890.36",""
"08.May.1990","295.75","5,862.98","","2,862.13","2,373.60","","32,312.75","1,901.46",""
"09.May.1990","295.77","5,867.61","","2,878.71","2,355.70","","32,106.19","1,895.17",""
"10.May.1990","296.42","5,870.99","","2,880.69","2,374.70","","31,940.24","1,879.90",""
"11.May.1990","296.23","5,874.37","","2,899.26","2,372.00","","32,160.23","1,915.30",""
"12.May.1990","","5,877.75","","2,911.63","2,371.70","","32,414.60","1,906.23",""
"13.May.1990","","5,881.13","","","2,355.50","","32,445.92","1,925.13",""
"14.May.1990","296.50","5,884.52","","2,879.21","2,331.40","","32,351.67","1,914.18",""
"15.May.1990","297.41","5,887.91","","2,904.95","2,340.00","","32,445.12","1,932.80",""
"16.May.1990","297.88","5,891.29","","2,914.11","2,337.60","","32,538.28","1,923.86",""
"17.May.1990","298.37","5,894.69","","2,890.84","2,327.60","","32,152.43","1,909.63",""
